년도/월,명목gdp,경제성장률,경상수지,무역수지,소비자물가,생산자물가,기준금리,콜금리,코스피지수,코스닥지수,나스닥변동률,외국인보유금,외국인보유금(시가총액대비),엔달러절상율,원달러절상율,환율
201711,1835698,3.2,7474,7693,1.2,3.1,1.5,1.26,2476.37,771.42,0.0217,634.4,33.8,4,11,1088.2
201712,1835698,3.2,4487,5511,1.4,2.2,1.5,1.51,2467.49,798.42,0.0043,634.7,33.6,3.5,12.8,1070.5
201801,1898193,2.9,2557,3416,0.8,1.2,1.5,1.49,2566.46,913.57,0.0736,657.7,33,1.2,0.2,1067.9
201802,1898193,2.9,3227,2801,1.3,1.3,1.5,1.49,2427.36,857.06,-0.0187,621.1,32.9,5.3,-1.1,1082.8
201803,1898193,2.9,5210,6412,1.2,1.3,1.5,1.49,2445.85,871.09,-0.0288,625.2,32.7,6.2,0.7,1063.5
201804,1898193,2.9,1490,6156,1.5,1.7,1.5,1.47,2515.38,875.95,0.0004,643.8,32.8,3.3,0.2,1068
201805,1898193,2.9,8792,6229,1.5,2.2,1.5,1.5,2423.01,879.66,0.0532,623.9,32.7,3.7,-0.7,1077.7
201806,1898193,2.9,7980,6079,1.5,2.6,1.5,1.49,2326.13,818.22,0.0092,596.9,32.7,1.9,-3.9,1114.5
201807,1898193,2.9,8874,6893,1.1,3,1.5,1.49,2295.26,775.52,0.0215,592.7,33,1.3,-4.3,1118.7
201808,1898193,2.9,8581,6820,1.4,3.1,1.5,1.5,2322.88,816.97,0.0571,599.8,32.8,1.6,-3.8,1112.9
201809,1898193,2.9,11236,9617,2.1,2.7,1.5,1.54,2343.07,822.27,-0.0078,597,32.3,-0.6,-3.5,1109.3
201810,1898193,2.9,9474,6380,2,2.2,1.5,1.52,2029.69,648.67,-0.092,524.6,33.1,-0.4,-6.1,1139.6
201811,1898193,2.9,5131,4671,2,1.5,1.75,1.51,2096.86,695.76,0.0034,532.9,32.3,-0.5,-4.5,1121.2
201812,1898193,2.9,4914,4182,1.3,0.9,1.75,1.77,2041.04,675.65,-0.0948,509.7,32.1,2,-4.1,1115.7
201901,1919040,2,3296,1016,0.8,0.4,1.75,1.75,2204.85,716.86,0.0974,567.2,32.3,1.7,0.3,1112.7
201902,1919040,2,3850,2830,0.5,0.1,1.75,1.76,2195.44,731.25,0.0344,563.7,32.1,-0.1,-0.8,1124.7
201903,1919040,2,5040,5011,0.4,0.5,1.75,1.76,2140.67,729.31,0.0261,554.6,32.2,-0.1,-1.7,1135.1
201904,1919040,2,-393,3734,0.6,0.6,1.75,1.75,2203.59,754.74,0.0474,575.9,32.4,-0.7,-4.5,1168.2
201905,1919040,2,5176,2084,0.7,0.4,1.75,1.75,2041.74,696.47,-0.0793,532.4,32.3,1.5,-6.3,1190.9
201906,1919040,2,5665,3904,0.7,0.1,1.75,1.76,2130.62,690.53,0.0742,559.8,32.7,2.7,-3.4,1154.7
201907,1919040,2,6585,2316,0.6,-0.4,1.5,1.63,2024.55,630.18,0.0211,543.3,33.5,1.9,-5.7,1183.1
201908,1919040,2,4861,1563,0,-0.6,1.5,1.51,1967.79,610.55,-0.026,526.5,33.3,4,-7.9,1211.2
201909,1919040,2,7759,5888,-0.4,-0.8,1.5,1.52,2063.05,621.76,0.0046,555.8,33.6,2.6,-6.7,1196.2
201910,1919040,2,7827,5252,0,-0.7,1.25,1.35,2083.48,658.52,0.0366,560.6,33.2,1.8,-4.1,1163.4
201911,1919040,2,5975,3312,0.2,-0.1,1.25,1.28,2087.96,636.34,0.045,558.4,33.1,1,-5.5,1181.2
201912,1919040,2,4331,1981,0.7,0.7,1.25,1.28,2197.67,669.83,0.0354,593.2,33.3,0,0,1156.4
202001,1898193,-1,1007,373,1.5,1.1,1.25,1.27,2119.01,642.48,0.0199,581.5,33.8,0.1,-3,1191.8
202002,1898193,-1,6367,3900,1.1,0.7,1.25,1.24,1987.01,610.73,-0.0638,545.1,33.7,0.2,-4.7,1213.7
202003,1898193,-1,5961,4371,1,-0.5,0.75,0.98,1754.64,569.07,-0.1012,468.7,32.4,0.7,-5,1217.4
202004,1898193,-1,-3331,-1608,0.1,-1.7,0.75,0.74,1947.56,654.18,0.1545,505,31.5,2.4,-5.1,1218.2
202005,1898193,-1,2286,386,-0.3,-1.8,0.5,0.7,2029.6,713.68,0.0675,520.6,30.9,1.8,-6.6,1238.5
202006,1898193,-1,6880,3621,0,-1,0.5,0.48,2108.33,737.97,0.0599,541.6,30.9,1.3,-3.9,1203
202007,1898193,-1,7452,4134,0.3,-0.8,0.5,0.48,2249.37,815.3,0.0682,583.5,30.8,4.6,-2.9,1191.3
202008,1898193,-1,6566,3732,0.7,-0.5,0.5,0.5,2326.17,848.24,0.0959,589.2,30,3.3,-2.6,1187.8
202009,1898193,-1,10126,8498,1,-0.4,0.5,0.48,2327.89,848.15,-0.0516,598.4,30.3,3.3,-1.1,1169.5
202010,1898193,-1,11551,5791,0.1,-0.5,0.5,0.51,2267.15,792.65,-0.0229,584.8,30.4,4.7,1.9,1135.1
202011,1898193,-1,9177,5904,0.6,-0.3,0.5,0.49,2591.34,968.42,0.118,675.2,30.8,5,4.5,1106.5
202012,1898193,-1,11507,6772,0.5,0.2,0.5,0.51,2873.47,968.42,0.0565,764.3,31.4,5.6,6.5,1086.3
202101,,,7060,3762,0.6,0.9,0.5,0.49,2976.21,928.73,0.0142,787.9,31.6,-1.1,-2.9,1118.8
202102,,,8034,2616,1.1,2,0.5,0.49,3012.95,913.94,0.0093,797.5,31.6,-2.6,-3.3,1123.5
202103,,,,,,,0.5,0.49,3061.57,956.17,0.0041,805.3,31.3,-6.7,-4,1131.8
